DateTime,AddedIPs,RemovedIPs
1592439387,40,29
1592441536,20,24
1592443453,23,19
1592445408,27,16
1592447294,313,15
1592450172,928,29
1592452089,22,26
1592454028,22,14
1592455937,20,19
1592457855,12,23
1592459828,18,17
1592461692,13,15
1592463752,19,9
1592465607,11,365
1592467465,10,25
1592469389,21,19
1592471298,16,26
1592473215,20,29
1592475151,24,16
1592477051,20,24
1592478989,24,36
1592480908,103,20
1592482813,659,13
1592484744,817,1531
1592486677,681,988
1592488573,849,1183
1592490738,920,1066
1592492903,799,1097
1592494811,368,36
1592496749,34,29
1592498658,45,37
1592500572,33,23
1592502511,45,22
1592504412,28,33
1592506330,4926,33
1592508272,48,19
1592510177,31,35
1592512093,36,31
1592514292,34,31
1592516296,37,29
1592518096,22,28
1592520015,28,32
1592521986,31,24
1592523855,26,26
1592525800,112,21
1592527706,26,13
1592529617,24,14
1592531553,11,23
1592533462,17,46
1592535394,21,1063
1592537311,29,16
1592539422,13,16
1592541385,24,21
1592543322,17,15
1592545227,25,11
1592547040,24,19
1592548858,23,13
1592550774,16,13
1592552682,14,10
1592554578,13,9
1592556550,19,16
1592558476,21,9
1592560339,371,17
1592562274,24,21
1592564201,21,18
1592566097,19,11
1592568244,20,501
1592570169,18,1013
1592572109,17,972
1592574040,22,1072
1592575930,17,919
1592577870,22,1081
1592579770,16,883
1592581937,27,135
1592583853,21,23
1592585824,20,16
1592587692,18,15
1592589648,29,39
1592591551,48,2271
1592593472,36,3049
1592595369,27,32
1592597324,19,25
1592599212,36,37
1592601132,34,42
1592603073,20,39
1592605951,33,40
1592607872,23,31
1592609770,22,29
1592611739,17,111
1592613611,12,27
1592615531,27,32
1592617488,23,14
1592619399,28,33
1592621314,20,25
1592623209,27,37
1592625128,38,24
1592627076,21,27
1592628976,30,33
1592630890,18,29
1592633804,29,57
1592635696,19,34
1592637642,28,19
1592639560,22,23
1592641456,24,29
1592643382,23,28
1592645312,33,35
1592647246,27,399
1592649155,17,30
1592651091,15,32
1592652975,21,29
1592655164,341,31
1592657052,86,20
1592659279,22,28
1592661142,16,25
1592663084,21,17
1592664989,31,24
1592667213,24,24
1592669100,14,17
1592670971,27,27
1592672895,21,16
1592674830,19,26
1592676741,19,45
1592678656,25,26
1592680591,18,30
1592682523,30,21
1592684431,16,19
1592686332,28,43
1592688254,29,20
1592690190,36,21
1592692094,88,17
1592694978,42,37
1592696900,24,19
1592698839,31,13
1592700731,493,20
1592702654,25,26
1592704604,12,24
1592706518,14,26
1592708506,24,24
1592710355,30,39
1592712205,22,24
1592714194,27,26
1592716087,27,23
1592718018,34,11
1592719954,24,28
1592721854,710,919
1592723777,40,32
1592725755,26,14
1592727613,9,22
1592729533,20,23
1592731473,33,27
1592733369,580,32
1592735287,296,15
